time,elapsed_seconds,message
22:26:02,0.0029326,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,3.78e-05,commencing SVD factorization of lambda-scaled JtQJ
22:26:02,1.43e-05,starting REDSVD
22:26:02,0.0004726,retrieving REDSVD components
22:26:02,3.55e-05,triming REDSVD components to 9elements
22:26:02,1.72e-05,done REDSVD
22:26:02,1.2e-05,SVD factorization complete
22:26:02,0.0006182,commencing linear algebra multiplication to compute ugrade
22:26:02,1.92e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,1.58e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,1.64e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.0025074,linear algebra multiplication to compute ugrade complete
22:26:02,0.0003209,commencing check of parameter bounds
22:26:02,3.91e-05,limiting out of bounds pars
22:26:02,7.19e-05,change limit/bound enforement for lambda 10: upper change limit,SOL_K, scaling factor: 3.49141e-06
22:26:02,0.0004406,checking for denormal floating point values
22:26:02,3.06e-05,transforming upgrade pars to model pars
22:26:02,1.9e-05,writing upgrade vector to csv file
22:26:02,0.0005576,beginning upgrade vector calculations, lambda = 100
22:26:02,0.0001149,commencing calculation of upgrade vector
22:26:02,0.0213356,forming JtQJ matrix
22:26:02,0.0027644,commencing to scale JtQJ matrix- first SVD...
22:26:02,5.22e-05,starting REDSVD
22:26:02,0.0005807,retrieving REDSVD components
22:26:02,4.76e-05,triming REDSVD components to 9elements
22:26:02,3.38e-05,done REDSVD
22:26:02,3.9e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,1.38e-05,JS
22:26:02,0.0013211,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:26:02,0.0025028,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,3.91e-05,commencing SVD factorization of lambda-scaled JtQJ
22:26:02,1.84e-05,starting REDSVD
22:26:02,0.0005205,retrieving REDSVD components
22:26:02,4.58e-05,triming REDSVD components to 9elements
22:26:02,1.4e-05,done REDSVD
22:26:02,8.7e-06,SVD factorization complete
22:26:02,0.000326,commencing linear algebra multiplication to compute ugrade
22:26:02,9.5e-06,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,8.2e-06,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,8.5e-06,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.0015115,linear algebra multiplication to compute ugrade complete
22:26:02,0.0002158,commencing check of parameter bounds and gradients
22:26:02,2.75e-05,commencing calculation of upgrade vector
22:26:02,0.0190489,forming JtQJ matrix
22:26:02,0.0028196,commencing to scale JtQJ matrix- first SVD...
22:26:02,4.3e-05,starting REDSVD
22:26:02,0.000499,retrieving REDSVD components
22:26:02,4.12e-05,triming REDSVD components to 9elements
22:26:02,2.36e-05,done REDSVD
22:26:02,3.93e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,1.51e-05,JS
22:26:02,0.0012198,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:26:02,0.0026009,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,3.45e-05,commencing SVD factorization of lambda-scaled JtQJ
22:26:02,1.54e-05,starting REDSVD
22:26:02,0.0005143,retrieving REDSVD components
22:26:02,3.48e-05,triming REDSVD components to 9elements
22:26:02,1.81e-05,done REDSVD
22:26:02,1.39e-05,SVD factorization complete
22:26:02,0.0006381,commencing linear algebra multiplication to compute ugrade
22:26:02,2.3e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,1.86e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,1.86e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.0026893,linear algebra multiplication to compute ugrade complete
22:26:02,0.0003541,commencing check of parameter bounds
22:26:02,5.14e-05,limiting out of bounds pars
22:26:02,8.11e-05,change limit/bound enforement for lambda 100: upper change limit,SOL_K, scaling factor: 4.7166e-06
22:26:02,0.0005181,checking for denormal floating point values
22:26:02,3.68e-05,transforming upgrade pars to model pars
22:26:02,2.83e-05,writing upgrade vector to csv file
22:26:02,0.0006796,beginning upgrade vector calculations, lambda = 1000
22:26:02,0.0001426,commencing calculation of upgrade vector
22:26:02,0.0242467,forming JtQJ matrix
22:26:02,0.0026774,commencing to scale JtQJ matrix- first SVD...
22:26:02,4.75e-05,starting REDSVD
22:26:02,0.0005333,retrieving REDSVD components
22:26:02,3.93e-05,triming REDSVD components to 9elements
