obsnme,obsval,weight,obgnme
g_5163_20080829,-16.89020625,1,g_5163
g_5163_20080830,-16.8144825,1,g_5163
g_5163_20080831,-16.79387675,1,g_5163
g_5163_20080901,-16.90843075,1,g_5163
g_5163_20080902,-17.074769,1,g_5163
g_5163_20080903,-17.21799325,1,g_5163
g_5163_20080904,-17.31000475,1,g_5163
g_5163_20080905,-17.4305595,1,g_5163
g_5163_20080906,-17.520285,1,g_5163
g_5163_20080907,-17.64941225,1,g_5163
g_5163_20080908,-17.66516025,1,g_5163
g_5163_20080909,-17.54984425,1,g_5163
g_5163_20080910,-17.4576105,1,g_5163
g_5163_20080911,-17.4499905,1,g_5163
g_5163_20080912,-17.4686595,1,g_5163
g_5163_20080913,-17.492218,1,g_5163
g_5163_20080914,-17.642332,1,g_5163
g_5163_20080915,-17.804638,1,g_5163
g_5163_20080916,-17.85839075,1,g_5163
g_5163_20080917,-17.9250975,1,g_5163
g_5163_20080918,-17.949164,1,g_5163
g_5163_20080919,-17.9926615,1,g_5163
g_5163_20080920,-18.060162,1,g_5163
g_5163_20080921,-18.2220235,1,g_5163
g_5163_20080922,-18.358993,1,g_5163
g_5163_20080923,-18.48640575,1,g_5163
g_5163_20080924,-18.504154,1,g_5163
g_5163_20080925,-18.5402855,1,g_5163
g_5163_20080926,-18.59492725,1,g_5163
g_5163_20080927,-18.6153425,1,g_5163
g_5163_20080928,-18.662777,1,g_5163
g_5163_20080929,-18.843879,1,g_5163
g_5163_20080930,-18.98142,1,g_5163
g_5163_20081001,-19.0235205,1,g_5163
g_5163_20081002,-19.056477,1,g_5163
g_5163_20081003,-19.143091,1,g_5163
g_5163_20081004,-19.137376,1,g_5163
g_5163_20081005,-19.15525125,1,g_5163
g_5163_20081006,-19.28485475,1,g_5163
g_5163_20081007,-19.28368,1,g_5163
g_5163_20081008,-19.3270505,1,g_5163
g_5163_20081009,-19.379184,1,g_5163
g_5163_20081010,-19.4507485,1,g_5163
g_5163_20081011,-19.40563175,1,g_5163
g_5163_20081012,-19.3905505,1,g_5163
g_5163_20081013,-19.404965,1,g_5163
g_5163_20081014,-19.23507075,1,g_5163
g_5163_20081015,-19.149949,1,g_5163
g_5163_20081016,-18.990564,1,g_5163
g_5163_20081017,-18.9703075,1,g_5163
g_5163_20081018,-18.904204,1,g_5163
g_5163_20081019,-18.90531525,1,g_5163
g_5163_20081020,-19.0346965,1,g_5163
g_5163_20081021,-19.05155575,1,g_5163
g_5163_20081022,-19.060541,1,g_5163
g_5163_20081023,-19.07035175,1,g_5163
g_5163_20081024,-19.11581775,1,g_5163
g_5163_20081025,-19.06514475,1,g_5163
g_5163_20081026,-19.07613025,1,g_5163
g_5163_20081027,-19.233007,1,g_5163
g_5163_20081028,-19.23303875,1,g_5163
g_5163_20081029,-19.21729075,1,g_5163
g_5163_20081030,-19.24624675,1,g_5163
g_5163_20081031,-19.30466675,1,g_5163
g_5163_20081101,-19.23176875,1,g_5163
g_5163_20081102,-19.222974,1,g_5163
g_5163_20081103,-19.309969,1,g_5163
g_5163_20081104,-19.3198115,1,g_5163
g_5163_20081105,-19.2955545,1,g_5163
g_5163_20081106,-19.30187275,1,g_5163
g_5163_20081107,-19.30517475,1,g_5163
g_5163_20081108,-19.2786,1,g_5163
g_5163_20081109,-19.2183385,1,g_5163
g_5163_20081110,-19.26123275,1,g_5163
g_5163_20081111,-19.26942425,1,g_5163
g_5163_20081112,-19.33540075,1,g_5163
g_5163_20081113,-19.36537275,1,g_5163
g_5163_20081114,-19.3855975,1,g_5163
g_5163_20081115,-19.370421,1,g_5163
g_5163_20081116,-19.27482175,1,g_5163
g_5163_20081117,-19.3312415,1,g_5163
g_5163_20081118,-19.35972125,1,g_5163
g_5163_20081119,-19.4191255,1,g_5163
g_5163_20081120,-19.42277675,1,g_5163
g_5163_20081121,-19.43147625,1,g_5163
g_5163_20081122,-19.30320625,1,g_5163
g_5163_20081123,-19.1977645,1,g_5163
g_5163_20081124,-19.305016,1,g_5163
g_5163_20081125,-19.35699075,1,g_5163
g_5163_20081126,-19.37667575,1,g_5163
g_5163_20081127,-19.28891875,1,g_5163
g_5163_20081128,-19.18109575,1,g_5163
g_5163_20081129,-19.14013825,1,g_5163
g_5163_20081130,-19.09391025,1,g_5163
g_5163_20081201,-19.24237325,1,g_5163
g_5163_20081202,-19.221704,1,g_5163
g_5163_20081203,-19.22681575,1,g_5163
g_5163_20081204,-19.2245615,1,g_5163
g_5163_20081205,-19.172936,1,g_5163
g_5163_20081206,-19.037808,1,g_5163
g_5163_20081207,-18.98081675,1,g_5163
g_5163_20081208,-19.05371475,1,g_5163
g_5163_20081209,-19.073876,1,g_5163
g_5163_20081210,-19.00805825,1,g_5163
g_5163_20081211,-18.89712375,1,g_5163
g_5163_20081212,-18.9146815,1,g_5163
g_5163_20081213,-18.82911525,1,g_5163
g_5163_20081214,-18.77742625,1,g_5163
g_5163_20081215,-18.90252125,1,g_5163
g_5163_20081216,-18.7996195,1,g_5163
g_5163_20081217,-18.734659,1,g_5163
g_5163_20081218,-18.702274,1,g_5163
g_5163_20081219,-18.6764295,1,g_5163
g_5163_20081220,-18.56882875,1,g_5163
g_5163_20081221,-18.485739,1,g_5163
g_5163_20081222,-18.48932675,1,g_5163
g_5163_20081223,-18.44068575,1,g_5163
g_5163_20081224,-18.550509,1,g_5163
g_5163_20081225,-18.46456175,1,g_5163
g_5163_20081226,-18.47091175,1,g_5163
g_5163_20081227,-18.5385075,1,g_5163
g_5163_20081228,-18.5600975,1,g_5163
g_5163_20081229,-18.70452825,1,g_5163
g_5163_20081230,-18.75393125,1,g_5163
g_5163_20081231,-18.791682,1,g_5163
g_5163_20090101,-18.72681675,1,g_5163
g_5163_20090102,-18.74732725,1,g_5163
g_5163_20090103,-18.7183395,1,g_5163
g_5163_20090104,-18.711164,1,g_5163
g_5163_20090105,-18.74916875,1,g_5163
g_5163_20090106,-18.7003055,1,g_5163
g_5163_20090107,-18.68363675,1,g_5163
g_5163_20090108,-18.65353775,1,g_5163
g_5163_20090109,-18.723102,1,g_5163
g_5163_20090110,-18.73240475,1,g_5163
g_5163_20090111,-18.653252,1,g_5163
g_5163_20090112,-18.68001725,1,g_5163
g_5163_20090113,-18.716879,1,g_5163
g_5163_20090114,-18.72922975,1,g_5163
g_5163_20090115,-18.821019,1,g_5163
g_5163_20090116,-18.81952675,1,g_5163
g_5163_20090117,-18.70027375,1,g_5163
g_5163_20090118,-18.6561095,1,g_5163
g_5163_20090119,-18.7564395,1,g_5163
g_5163_20090120,-18.8284485,1,g_5163
g_5163_20090121,-18.8584205,1,g_5163
g_5163_20090122,-18.8447045,1,g_5163
g_5163_20090123,-18.8996955,1,g_5163
g_5163_20090124,-18.89674275,1,g_5163
g_5163_20090125,-18.856579,1,g_5163
g_5163_20090126,-18.90741075,1,g_5163
g_5163_20090127,-18.93750975,1,g_5163
g_5163_20090128,-18.956655,1,g_5163
g_5163_20090129,-18.9684025,1,g_5163
g_5163_20090130,-19.00047,1,g_5163
g_5163_20090131,-18.95179725,1,g_5163
g_5163_20090201,-18.928207,1,g_5163
g_5163_20090202,-19.053175,1,g_5163
g_5163_20090203,-19.1089915,1,g_5163
g_5163_20090204,-19.22224375,1,g_5163
g_5163_20090205,-19.33235275,1,g_5163
g_5163_20090206,-19.48532425,1,g_5163
g_5163_20090207,-19.45097075,1,g_5163
g_5163_20090208,-19.47364025,1,g_5163
g_5163_20090209,-19.484721,1,g_5163
g_5163_20090210,-19.48259375,1,g_5163
g_5163_20090211,-19.51440725,1,g_5163
g_5163_20090212,-19.64210575,1,g_5163
g_5163_20090213,-19.7516115,1,g_5163
g_5163_20090214,-19.71106675,1,g_5163
g_5163_20090215,-19.776567,1,g_5163
g_5163_20090216,-19.951573,1,g_5163
g_5163_20090217,-20.00551625,1,g_5163
g_5163_20090218,-19.98068775,1,g_5163
g_5163_20090219,-20.07339775,1,g_5163
g_5163_20090220,-20.18826925,1,g_5163
g_5163_20090221,-20.14521625,1,g_5163
g_5163_20090222,-20.1662665,1,g_5163
g_5163_20090223,-20.28571,1,g_5163
g_5163_20090224,-20.295235,1,g_5163
g_5163_20090225,-20.4073125,1,g_5163
g_5163_20090226,-20.5287245,1,g_5163
g_5163_20090227,-20.5953995,1,g_5163
g_5163_20090228,-20.564856,1,g_5163
g_5163_20090301,-20.47427325,1,g_5163
g_5163_20090302,-20.54882225,1,g_5163
g_5163_20090303,-20.61860875,1,g_5163
g_5163_20090304,-20.74554525,1,g_5163
g_5163_20090305,-20.7993615,1,g_5163
g_5163_20090306,-20.910296,1,g_5163
g_5163_20090307,-20.8626075,1,g_5163
g_5163_20090308,-20.84974875,1,g_5163
g_5163_20090309,-20.925282,1,g_5163
g_5163_20090310,-20.902168,1,g_5163
g_5163_20090311,-20.79812325,1,g_5163
g_5163_20090312,-20.28510675,1,g_5163
g_5163_20090313,-19.7660895,1,g_5163
g_5163_20090314,-19.4289045,1,g_5163
g_5163_20090315,-19.24478625,1,g_5163
g_5163_20090316,-19.29450675,1,g_5163
g_5163_20090317,-19.352641,1,g_5163
g_5163_20090318,-19.417157,1,g_5163
g_5163_20090319,-19.51034325,1,g_5163
g_5163_20090320,-19.6534405,1,g_5163
g_5163_20090321,-19.74211825,1,g_5163
g_5163_20090322,-19.77634475,1,g_5163
g_5163_20090323,-19.90725,1,g_5163
g_5163_20090324,-19.9176005,1,g_5163
g_5163_20090325,-19.98710125,1,g_5163
g_5163_20090326,-19.99326075,1,g_5163
g_5163_20090327,-19.90321775,1,g_5163
g_5163_20090328,-19.86486375,1,g_5163
g_5163_20090329,-19.89858225,1,g_5163
g_5163_20090330,-20.08330375,1,g_5163
g_5163_20090331,-20.19506375,1,g_5163
g_5163_20090401,-20.20858925,1,g_5163
g_5163_20090402,-20.29660025,1,g_5163
g_5163_20090403,-20.42118725,1,g_5163
g_5163_20090404,-20.5613,1,g_5163
g_5163_20090405,-20.80771175,1,g_5163
g_5163_20090406,-21.07555475,1,g_5163
g_5163_20090407,-21.1544535,1,g_5163
g_5163_20090408,-21.329777,1,g_5163
g_5163_20090409,-21.52640475,1,g_5163
g_5163_20090410,-21.69836275,1,g_5163
g_5163_20090411,-21.49370225,1,g_5163
g_5163_20090412,-21.19503,1,g_5163
g_5163_20090413,-21.2326855,1,g_5163
